,lemma,frequency
0,и,0
1,в,1
2,не,2
3,на,3
4,я,4
5,что,5
6,быть,6
7,с,7
8,он,8
9,а,9
10,это,10
11,как,11
12,то,12
13,этот,13
14,по,14
15,к,15
16,но,16
17,они,17
18,мы,18
19,она,19
20,который,20
21,из,21
22,у,22
23,свой,23
24,вы,24
25,весь,25
26,за,26
27,для,27
28,от,28
29,о,29
30,так,30
31,мочь,31
32,все,32
33,ты,33
34,же,34
35,год,35
36,человек,36
37,один,37
38,такой,38
39,тот,39
40,или,40
41,если,41
42,только,42
43,его,43
44,бы,44
45,себя,45
46,время,46
47,когда,47
48,еще,48
49,уже,49
50,другой,50
51,сказать,51
52,до,52
53,мой,53
54,наш,54
55,чтобы,55
56,говорить,56
57,самый,57
58,знать,58
59,вот,59
60,очень,60
61,нет,61
62,кто,62
63,при,63
64,да,64
65,стать,65
66,день,66
67,первый,67
68,даже,68
69,можно,69
70,жизнь,70
71,во,71
72,ни,72
73,сам,73
74,дело,74
75,два,75
76,новый,76
77,раз,77
78,хотеть,78
79,должен,79
80,ли,80
81,какой,81
82,со,82
83,там,83
84,их,84
85,много,85
86,работа,86
87,иметь,87
88,после,88
89,где,89
90,вопрос,90
91,рука,91
92,город,92
93,ее,93
94,под,94
95,каждый,95
96,слово,96
97,место,97
98,без,98
99,ну,99
100,ребенок,100
101,просто,101
102,более,102
103,друг,103
104,большой,104
105,надо,105
106,чем,106
107,ваш,107
108,сделать,108
109,идти,109
110,здесь,110
111,делать,111
112,сейчас,112
113,россия,113
114,видеть,114
115,потом,115
116,ничто,116
117,через,117
118,мир,118
119,теперь,119
120,несколько,120
121,думать,121
122,потому,122
123,случай,123
124,сторона,124
125,хороший,125
126,тоже,126
127,глаз,127
128,тогда,128
129,тут,129
130,дом,130
131,страна,131
132,об,132
133,сила,133
134,последний,134
135,работать,135
136,также,136
137,лицо,137
138,жить,138
139,часть,139
140,хотя,140
141,женщина,141
142,система,142
143,всегда,143
144,являться,144
145,вид,145
146,голова,146
147,проблема,147
148,конец,148
149,ведь,149
150,между,150
151,конечно,151
152,смотреть,152
153,пока,153
154,отношение,154
155,получить,155
156,дать,156
157,русский,157
158,три,158
159,второй,159
160,именно,160
161,перед,161
162,лишь,162
163,образ,163
164,понять,164
165,деньги,165
166,поэтому,166
167,почему,167
168,понимать,168
169,москва,169
170,любой,170
171,однако,171
172,хорошо,172
173,никто,173
174,час,174
175,начать,175
176,найти,176
177,считать,177
178,взять,178
179,над,179
180,земля,180
181,сегодня,181
182,вообще,182
183,книга,183
184,пойти,184
185,возможность,185
186,некоторый,186
187,оказаться,187
188,прийти,188
189,компания,189
190,история,190
191,любить,191
192,высокий,192
193,нужно,193
194,почти,194
195,остаться,195
196,твой,196
197,результат,197
198,больше,198
199,например,199
200,право,200
201,группа,201
202,писать,202
203,сидеть,203
204,путь,204
205,машина,205
206,находиться,206
207,увидеть,207
208,война,208
209,казаться,209
210,стоять,210
211,имя,211
212,решить,212
213,никогда,213
214,стоить,214
215,маленький,215
216,ответ,216
217,вода,217
218,решение,218
219,бог,219
220,совсем,220
221,язык,221
222,далеко,222
223,нужный,223
224,давать,224
225,ответить,225
226,полный,226
227,российский,227
228,народ,228
229,власть,229
230,сразу,230
231,уровень,231
232,выйти,232
233,ночь,233
234,пора,234
235,часто,235
236,спросить,236
237,развитие,237
238,программа,238
239,начало,239
240,никакой,240
241,оно,241
242,главный,242
243,дверь,243
244,вместе,244
245,момент,245
246,закон,246
247,число,247
248,цель,248
249,принять,249
250,следующий,250
251,написать,251
252,отец,252
253,правда,253
254,нога,254
255,старый,255
256,помощь,256
257,информация,257
258,уж,258
259,тысяча,259
260,про,260
261,подобный,261
262,разный,262
263,общий,263
264,месяц,264
265,пройти,265
266,кроме,266
267,минута,267
268,мало,268
269,всё,269
270,процесс,270
271,ситуация,271
272,смочь,272
273,автор,273
274,начинать,274
275,форма,275
276,голос,276
277,многий,277
278,собственный,278
279,мысль,279
280,свет,280
281,качество,281
282,школа,282
283,всякий,283
284,действие,284
285,мужчина,285
286,область,286
287,внимание,287
288,следовать,288
289,использовать,289
290,дорога,290
291,связь,291
292,марк,292
293,взгляд,293
294,условие,294
295,молодой,295
296,скоро,296
297,снова,297
298,любовь,298
299,основной,299
300,становиться,300
301,важный,301
302,ждать,302
303,вдруг,303
304,игра,304
305,читать,305
306,статья,306
307,организация,307
308,средство,308
309,существовать,309
310,душа,310
311,пытаться,311
312,тело,312
313,посмотреть,313
314,общество,314
315,жена,315
316,государство,316
317,оставаться,317
318,совершенно,318
319,письмо,319
320,состояние,320
321,вечер,321
322,настоящий,322
323,назад,323
324,смысл,324
325,мера,325
326,семья,326
327,простой,327
328,вещь,328
329,вернуться,329
330,затем,330
331,причина,331
332,утро,332
333,мать,333
334,рынок,334
335,действительно,335
336,происходить,336
337,данный,337
338,девушка,338
339,вести,339
340,сколько,340
341,тема,341
342,стол,342
343,проект,343
344,улица,344
345,государственный,345
346,помнить,346
347,называть,347
348,точка,348
349,появиться,349
350,хотеться,350
351,нельзя,351
352,д,352
353,белый,353
354,центр,354
355,опять,355
356,равный,356
357,против,357
358,куда,358
359,неделя,359
360,идея,360
361,особенно,361
362,прийтись,362
363,комната,363
364,иной,364
365,цена,365
366,наконец,366
367,известный,367
368,среди,368
369,сын,369
370,деятельность,370
371,узнать,371
372,играть,372
373,правило,373
374,советский,374
375,лучший,375
376,движение,376
377,заниматься,377
378,точно,378
379,огромный,379
380,мама,380
381,задача,381
382,великий,382
383,количество,383
384,чувство,384
385,иногда,385
386,слишком,386
387,смерть,387
388,достаточно,388
389,лежать,389
390,помочь,390
391,мнение,391
392,труд,392
393,пять,393
394,третий,394
395,бывать,395
396,заметить,396
397,готовый,397
398,быстро,398
399,черный,399
400,сильный,400
401,н,401
402,порядок,402
403,чувствовать,403
404,создать,404
405,пример,405
406,положение,406
407,век,407
408,продолжать,408
409,подумать,409
410,муж,410
411,поскольку,411
412,уйти,412
413,хоть,413
414,военный,414
415,речь,415
416,план,416
417,совет,417
418,политический,418
419,стена,419
420,представлять,420
421,слышать,421
422,ходить,422
423,окно,423
424,рядом,424
425,прежде,425
426,показать,426
427,опыт,427
428,тип,428
429,оба,429
430,около,430
431,отвечать,431
432,интерес,432
433,современный,433
434,плохой,434
435,сердце,435
436,управление,436
437,данные,437
438,наука,438
439,сообщение,439
440,значит,440
441,просить,441
442,немного,442
443,газета,443
444,интересный,444
445,живой,445
446,поставить,446
447,необходимый,447
448,материал,448
449,роль,449
450,открыть,450
451,ко,451
452,представить,452
453,вполне,453
454,будто,454
455,рассказать,455
456,выходить,456
457,рано,457
458,оставить,458
459,получать,459
460,давно,460
461,армия,461
462,рабочий,462
463,четыре,463
464,бояться,464
465,различный,465
466,долго,466
467,привести,467
468,президент,468
469,либо,469
470,событие,470
471,менее,471
472,красный,472
473,социальный,473
474,искать,474
475,большинство,475
476,бизнес,476
477,пусть,477
478,легко,478
479,правительство,479
480,прямо,480
481,глава,481
482,член,482
483,суд,483
484,возможно,484
485,принимать,485
486,рубль,486
487,б,487
488,миллион,488
489,целый,489
490,приходить,490
491,фильм,491
492,обычно,492
493,счет,493
494,спать,494
495,небольшой,495
496,культура,496
